,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,2,2,0,0,0,1,2,2,2,0,1,2,2,0,2,0,2,0,0,0,0,2,0,2,1
1,0,0,0,0,0,2,2,1,0,0,0,2,2,0,0,2,0,0,0,1,2,0,2,0,1,2,0,2,2,0,0,0,0,0,0,2,0,2,2
2,0,0,0,2,0,2,0,1,0,0,0,0,2,0,2,2,0,0,0,1,2,2,2,0,1,2,2,2,2,0,2,0,0,0,0,2,0,2,2
3,0,0,0,2,0,2,0,1,0,0,0,2,0,0,2,2,0,0,0,1,2,2,2,0,1,2,2,2,2,0,0,0,0,2,0,2,0,0,1
4,0,0,0,2,2,2,2,1,2,0,0,0,2,0,2,2,0,0,0,1,2,2,2,0,1,2,2,2,2,0,2,0,0,2,0,2,0,0,2
5,0,0,2,2,2,2,0,1,0,0,2,0,2,0,2,2,0,0,0,1,2,2,2,0,1,2,2,2,2,0,2,0,2,0,2,2,0,0,2
6,0,2,2,0,2,2,2,1,2,0,0,2,2,0,2,2,0,2,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,0,2,2
7,0,0,2,0,2,2,2,1,2,0,0,2,2,2,2,2,2,2,2,1,2,2,2,0,1,2,2,2,2,0,2,2,2,2,2,2,0,2,1
8,0,0,2,2,2,2,2,1,0,2,2,2,2,0,2,2,2,0,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,0,2,2
9,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
15,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
18,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,0
19,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
20,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
21,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
22,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
23,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
24,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
29,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
31,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
32,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
33,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
34,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
35,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
36,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
37,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,0
38,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
39,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
40,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0
41,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0
42,1,1,1,1,2,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
43,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
44,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
46,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2
47,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,2
48,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,1,2,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2
49,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,2,1,2,2,1,1,1,1,1,1,2,1,1,2
50,1,1,1,1,1,2,1,0,2,1,2,1,2,1,2,2,1,1,1,0,2,1,2,1,0,2,2,1,1,1,1,1,1,1,1,2,1,1,2
51,1,1,1,1,2,2,2,0,1,1,1,1,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,1,1,1,1,2,2,1,1,2
52,1,1,1,2,2,2,2,0,1,1,1,2,2,1,2,2,1,1,1,0,2,2,2,1,0,2,2,1,1,1,2,1,1,1,1,2,1,1,2
53,2,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,1,1,0,2,1,2,1,0,2,2,1,2,2,1,1,1,2,2,1,1,1,2
54,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,2,2,1,2,1,1,1,1,1,1,2,1,1,0
55,1,1,1,1,2,2,1,0,1,1,1,2,1,1,1,2,1,1,1,0,2,2,2,1,0,2,1,1,1,2,1,1,1,2,1,2,1,2,2
56,1,1,1,1,2,2,1,0,1,1,1,1,2,1,1,2,1,1,1,0,2,2,1,1,0,2,2,2,2,1,1,1,2,1,1,2,1,1,2
57,1,1,1,1,1,2,1,0,1,1,1,1,2,1,2,2,1,1,1,0,2,3,2,1,0,2,2,1,2,1,2,1,1,2,1,2,1,1,2
58,1,1,1,1,1,2,2,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,2,2,2,1,1,1,1,1,1,2,1,1,1,2
59,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2
60,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,1,1,0,2,1,2,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,2
