,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,0,2,1,1,1,0,2,2,1,1,1,1,1,1,1,1,2,1,1,2
2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,2,1,2,1,0,2,1,1,2,1,1,1,1,1,2,1,1,2,2
3,1,1,1,1,1,2,2,0,1,1,1,1,2,1,1,2,1,1,1,0,2,2,2,1,0,2,2,2,2,1,2,1,1,1,1,2,1,1,3
4,1,1,1,1,1,2,1,0,1,1,1,1,1,1,2,3,1,1,1,0,3,2,2,1,0,2,1,2,2,1,1,1,1,1,2,2,1,2,3
5,1,1,1,2,4,3,1,0,1,1,2,1,2,1,1,3,2,1,1,0,3,4,3,1,0,2,2,2,5,1,4,1,1,1,2,2,1,2,3
6,1,1,1,1,2,2,1,0,1,1,1,2,4,1,2,3,1,1,1,0,3,2,4,1,0,3,2,5,2,1,2,1,2,4,1,5,1,2,3
7,1,1,2,2,2,4,2,0,1,2,2,2,1,1,2,3,1,1,2,0,2,2,5,2,0,5,5,5,5,1,5,2,1,2,2,5,2,2,3
8,2,2,2,2,4,4,2,0,2,2,2,1,3,2,2,4,2,2,2,0,3,4,3,2,0,3,4,4,4,2,4,4,2,4,4,4,2,2,3
9,1,1,3,1,3,3,2,0,1,1,1,2,3,1,3,2,1,1,1,0,2,3,2,1,0,2,1,2,1,1,3,1,1,3,3,2,1,3,3
10,1,1,1,3,1,1,1,0,3,1,1,1,1,1,1,2,3,1,1,0,3,2,2,1,0,3,1,3,3,1,3,3,1,3,1,3,1,3,0
11,1,1,3,1,3,3,1,0,4,3,1,1,3,3,1,2,1,1,1,0,3,3,3,1,0,3,3,3,3,1,1,3,1,3,1,2,1,1,0
12,3,1,1,4,3,1,1,0,3,1,3,1,3,1,1,2,1,1,1,0,2,1,3,1,0,2,5,1,1,1,1,3,1,1,4,1,1,1,2
13,1,1,3,3,3,3,1,0,1,1,1,1,1,1,3,2,1,1,1,0,2,1,4,1,0,2,3,1,1,3,1,1,1,1,1,2,1,1,2
